bairro,Indicador
ANDORINHAS,Favela
ARIOVALDO FAVALESSA,Favela
BELA VISTA,Favela
BOA VISTA,Favela
BONFIM,Favela
CARATOÍRA,Favela
COMDUSA,Favela
CONQUISTA,Favela
CONSOLAÇÃO,Favela
CRUZAMENTO,Favela
DA PENHA,Favela
DO CABRAL,Favela
DO MOSCOSO,Favela
DO QUADRO,Favela
ESTRELINHA,Favela
FONTE GRANDE,Favela
FORTE SÃO JOÃO,Favela
GOIABEIRAS,Favela
GRANDE VITÓRIA,Favela
GURIGICA,Favela
ILHA DAS CAIEIRAS,Favela
ILHA DE SANTA MARIA,Favela
ILHA DO PRÍNCIPE,Favela
INHANGUETA,Favela
ITARARÉ,Favela
JESUS DE NAZARETH,Favela
JOANA D’ARC,Favela
MARIA ORTIZ,Favela
MÁRIO CYPRESTE,Favela
NOVA PALESTINA,Favela
PIEDADE,Favela
REDENÇÃO,Favela
RESISTÊNCIA,Favela
ROMÃO,Favela
SANTA MARTHA,Favela
SANTA TEREZA,Favela
SANTO ANDRÉ,Favela
SANTO ANTÔNIO,Favela
SANTOS DUMONT,Favela
SANTOS REIS,Favela
SÃO BENEDITO,Favela
SÃO CRISTOVÃO,Favela
SÃO JOSÉ,Favela
SÃO PEDRO,Favela
TABUAZEIRO,Favela
